"","genes","logFC","logCPM","F","PValue","log10.pvalue","Significant.Gene","Differential_Gene"
"4431","ENSG00000124208",-3.14280200457324,3.45215431759598,18.7444005753561,0.00256261225285272,2.59131710165258,"Yes","Down-Regulated"
"4432","ENSG00000124209",-0.265455742713654,6.26319545204222,3.30924007911214,0.106700163255837,0.971834916085794,"No","No"
"4433","ENSG00000124212",-1.27165247219919,3.33366476307594,20.7095631643708,0.00191217156276658,2.71847314478993,"Yes","Down-Regulated"
"4434","ENSG00000124214",-0.2430184771214,7.68918272184626,3.81850339728544,0.0867406170643884,1.06177749264719,"No","No"
"4435","ENSG00000124216",-0.126829592295393,4.41237444550853,0.443275061063574,0.524424722384335,0.280316843026927,"No","No"
"4436","ENSG00000124217",0.21306641653424,4.95739577036948,1.66976743814584,0.23265008056578,0.633296792736268,"No","No"
"4437","ENSG00000124222",0.0856147192061142,6.99792639409658,0.285351283977125,0.60785211826586,0.216202065518211,"No","No"
"4438","ENSG00000124225",-0.29160058700414,5.01958742661953,2.15877141734935,0.180256617595204,0.744108782462486,"No","No"
"4439","ENSG00000124226",-0.516923014669866,7.18506876943408,15.8065002215289,0.0041540108284695,2.38153237570212,"No","No"
"4440","ENSG00000124228",-0.65419071200297,1.93450269136595,1.34860206892686,0.27926375525006,0.553985426333843,"No","No"
"4441","ENSG00000124243",0.425693983281743,3.49727965988298,3.44065600397079,0.101020987719705,0.995588389544512,"No","No"
"4442","ENSG00000124249",-0.688551539176859,3.54600577956282,8.02063775739425,0.0222628612351144,1.65241902064969,"No","No"
"4443","ENSG00000124251",0.149432694854183,1.02828067507373,0.150410444029217,0.708340114399045,0.149758162735228,"No","No"
"4444","ENSG00000124275",0.0672718423231599,5.64612811879253,0.137916635968389,0.720081239155661,0.142618503948299,"No","No"
"4445","ENSG00000124279",-0.00836413660210969,3.25433191577921,0.00122120582151343,0.972986105725026,0.0118933614274706,"No","No"
"4446","ENSG00000124299",0.230489828427496,7.47577171979314,4.2256781777317,0.0741460390814152,1.12991204424492,"No","No"
"4447","ENSG00000124302",1.09939546878572,3.49758923190939,23.1631396099922,0.00136461319936756,2.86499043227583,"Yes","Up-Regulated"
"4448","ENSG00000124313",0.367368748255158,5.31055057186402,3.5742366212947,0.0956454722413265,1.01933558420595,"No","No"
"4449","ENSG00000124333",-0.275364986048973,5.36690730953329,1.92271302131812,0.203269792534496,0.69192715609054,"No","No"
"4450","ENSG00000124356",-0.0364762963742454,5.15381195808088,0.033389598996941,0.859593667736344,0.0657067924329126,"No","No"
"4451","ENSG00000124357",0.161716876171145,7.10697553536239,1.71691751033916,0.226746525999361,0.644459358075432,"No","No"
"4452","ENSG00000124370",-0.270531792966695,2.84238180806156,1.01116183379824,0.344301085942499,0.463061607507086,"No","No"
"4453","ENSG00000124374",-0.785821304531227,3.15491458139402,8.3238570642531,0.0205272745482309,1.68766870904336,"No","No"
"4454","ENSG00000124380",0.153398382596703,5.38352703525571,0.516246430474506,0.493058762230543,0.307101318873523,"No","No"
"4455","ENSG00000124383",0.0665140989688983,4.73630558627661,0.0821498772348631,0.781746283167371,0.106934174944304,"No","No"
"4456","ENSG00000124406",-0.553417101003295,2.97689262406649,2.70280096040361,0.139104897037303,0.856657580871772,"No","No"
"4457","ENSG00000124422",-0.241009432233554,8.64121133947758,5.39886873940575,0.0489047738516275,1.31064874504355,"No","No"
