Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,baseMeanCtrl,baseMeansiRNA,symbol,entrez,log10.pvalue,Significant.Gene,Differential_Gene
ENSG00000175602,557.9251573,1.226918411,0.243749883,3.05E-08,2.34E-06,504.38759,611.4627245,CCDC85B,11007,5.630697025,Yes,Up-Regulated
ENSG00000175938,151.0132966,1.351053827,0.407237004,4.85E-05,0.001564168,167.0814678,134.9451253,ORAI3,93129,2.805716638,Yes,Up-Regulated
ENSG00000176244,70.58178568,-1.159850417,0.593387606,0.001983943,0.029508169,89.25275397,51.91081739,ACBD7,414149,1.530057737,Yes,Down-Regulated
ENSG00000176907,76.63579181,2.422761314,0.602786439,1.99E-06,9.74E-05,89.38700314,63.88458049,TCIM,56892,4.011571809,Yes,Up-Regulated
ENSG00000177409,148.1297586,2.042617638,0.393947135,1.24E-08,1.09E-06,196.2314524,100.0280648,SAMD9L,219285,5.962969401,Yes,Up-Regulated
ENSG00000177542,248.0610399,1.008067636,0.310258908,8.12E-05,0.002511798,223.6487781,272.4733018,SLC25A22,79751,2.600015316,Yes,Up-Regulated
ENSG00000177706,571.2734578,1.055245875,0.240516037,8.21E-07,4.48E-05,570.8629861,571.6839295,FAM20C,56975,4.348335038,Yes,Up-Regulated
ENSG00000177989,81.94235547,1.40619569,0.512770403,0.000284953,0.006924697,87.98125613,75.90345481,ODF3B,440836,2.159599234,Yes,Up-Regulated
ENSG00000178685,139.3017545,2.046784479,0.402752546,1.80E-08,1.47E-06,171.6241035,106.9794055,PARP10,84875,5.833905373,Yes,Up-Regulated
ENSG00000180155,178.7780781,1.12192244,0.383324051,0.000191848,0.00513745,205.7468957,151.8092604,LYNX1,66004,2.289252399,Yes,Up-Regulated
ENSG00000180447,259.7522685,1.411381427,0.305901508,2.29E-07,1.48E-05,278.83442,240.6701169,GAS1,2619,4.830520312,Yes,Up-Regulated
ENSG00000180667,41.68378082,-1.834093436,0.881493544,0.000800441,0.014814757,51.31849731,32.04906433,YOD1,55432,1.829305458,Yes,Down-Regulated
ENSG00000181744,34.79790084,-1.694630492,0.92060174,0.001493358,0.023942213,35.57499625,34.02080543,DIPK2A,205428,1.620835714,Yes,Down-Regulated
ENSG00000182179,74.38266327,1.650249898,0.570524364,0.00015944,0.00435463,99.88526257,48.88006397,UBA7,7318,2.361048711,Yes,Up-Regulated
ENSG00000182326,1189.746163,2.594562293,0.274357217,3.93E-23,2.70E-20,1714.67523,664.817095,C1S,716,19.56926845,Yes,Up-Regulated
ENSG00000182704,436.7742177,1.14426916,0.247500798,2.68E-07,1.68E-05,506.1401948,367.4082406,TSKU,25987,4.774000775,Yes,Up-Regulated
ENSG00000183153,208.4576585,1.498167892,0.360806527,1.60E-06,8.09E-05,252.939005,163.976312,GJD3,125111,4.091854379,Yes,Up-Regulated
ENSG00000183160,392.4407706,2.122615148,0.313002573,3.73E-13,6.88E-11,513.1444515,271.7370897,TMEM119,338773,10.162337,Yes,Up-Regulated
ENSG00000183486,450.595875,2.726866683,0.294322074,6.13E-22,3.78E-19,630.9312374,270.2605126,MX2,4600,18.42236588,Yes,Up-Regulated
ENSG00000183508,254.2451269,-1.032095088,0.309168793,5.75E-05,0.001827951,342.3082676,166.1819862,TENT5C,54855,2.738035449,Yes,Down-Regulated
ENSG00000183615,55.13612201,1.780061405,0.734810122,0.000468783,0.009943511,75.81528681,34.45695721,FAM167B,84734,2.002460256,Yes,Up-Regulated
ENSG00000183876,73.01877522,1.234545211,0.597949383,0.001524836,0.024314988,63.15982887,82.87772157,ARSI,340075,1.614125937,Yes,Up-Regulated
ENSG00000184232,931.1187897,1.155360675,0.200927302,6.49E-10,6.97E-08,926.4239964,935.813583,OAF,220323,7.156854772,Yes,Up-Regulated
ENSG00000184371,900.876943,1.675757097,0.226474407,6.88E-15,1.57E-12,1045.72824,756.0256459,CSF1,1435,11.80318059,Yes,Up-Regulated
ENSG00000184584,179.3843485,1.017417615,0.382290507,0.000468396,0.009943511,242.3383849,116.430312,STING1,340061,2.002460256,Yes,Up-Regulated
ENSG00000184588,99.05347692,1.84292542,0.499169429,1.06E-05,0.000417851,146.622301,51.48465287,PDE4B,5142,3.378978987,Yes,Up-Regulated
ENSG00000184979,168.2231451,1.646874708,0.360535214,2.73E-07,1.69E-05,189.9310496,146.5152406,USP18,11274,4.771255325,Yes,Up-Regulated
ENSG00000185215,202.2407713,1.033811311,0.347940898,0.0001928,0.00515176,203.2846217,201.1969209,TNFAIP2,7127,2.288044402,Yes,Up-Regulated
ENSG00000185499,108.7939457,2.73912964,0.617699589,1.63E-07,1.10E-05,146.4282565,71.15963491,MUC1,4582,4.957653581,Yes,Up-Regulated
ENSG00000185507,225.7374841,1.342947998,0.381754097,2.11E-05,0.000751268,284.9765585,166.4984097,IRF7,3665,3.124205104,Yes,Up-Regulated
ENSG00000185650,1885.887062,1.04504371,0.193093653,4.87E-09,4.55E-07,2184.620306,1587.153817,ZFP36L1,677,6.341642597,Yes,Up-Regulated
ENSG00000185745,1792.844877,2.521449139,0.232413008,4.68E-29,1.16E-25,2338.559946,1247.129809,IFIT1,3434,24.9373493,Yes,Up-Regulated
ENSG00000185880,57.23834786,1.274955636,0.722645184,0.002460271,0.034750622,66.69941382,47.7772819,TRIM69,140691,1.459037415,Yes,Up-Regulated
ENSG00000185885,2363.051703,2.406628245,0.594595485,1.11E-06,5.89E-05,3326.097482,1400.005924,IFITM1,8519,4.229754735,Yes,Up-Regulated
ENSG00000186150,29.38128159,1.961361331,1.031622851,0.001466566,0.023626423,37.43985372,21.32270946,UBL4B,164153,1.626602018,Yes,Up-Regulated
ENSG00000186340,694.2680831,1.903616371,0.23049136,1.09E-17,3.65E-15,741.9656968,646.5704695,THBS2,7058,14.43814098,Yes,Up-Regulated
ENSG00000187079,90.53735065,-1.862128523,0.486693479,5.47E-06,0.000233706,76.96086272,104.1138386,TEAD1,7003,3.631329266,Yes,Down-Regulated
ENSG00000187134,302.6619393,2.670856393,0.303009339,7.73E-20,3.08E-17,491.6163678,113.7075108,AKR1C1,1645,16.51156094,Yes,Up-Regulated
ENSG00000187479,640.7833905,1.560938667,0.263213109,1.33E-10,1.57E-08,828.218256,453.3485251,C11orf96,387763,7.802753189,Yes,Up-Regulated
ENSG00000187498,1194.843357,1.093766587,0.20581518,7.45E-09,6.86E-07,1418.293073,971.393642,COL4A1,1282,6.163442739,Yes,Up-Regulated
ENSG00000187608,1894.951918,2.220617611,0.794900722,9.63E-05,0.00288614,2150.182368,1639.721468,ISG15,9636,2.539682679,Yes,Up-Regulated
ENSG00000188313,436.8026611,1.107649581,0.250421564,7.14E-07,3.95E-05,515.4449338,358.1603884,PLSCR1,5359,4.40339716,Yes,Up-Regulated
ENSG00000188573,60.47572047,-1.418318094,0.729983463,0.001538982,0.024482909,94.27328604,26.67815491,FBLL1,345630,1.611136979,Yes,Down-Regulated
