"","SRR7992451Aligned.sortedByCoord.out_sorted.bam","SRR7992456Aligned.sortedByCoord.out_sorted.bam"
"peak_879",69,29
"peak_880",125,74
"peak_881",82,46
"peak_882",1367,566
"peak_883",400,183
"peak_884",380,146
"peak_885",1013,244
"peak_886",146,32
"peak_887",366,105
"peak_888",654,189
"peak_889",681,233
"peak_890",673,211
"peak_891",1541,376
"peak_892",288,124
"peak_893",67,34
"peak_894",120,68
"peak_895",1205,319
"peak_896",104,44
"peak_897",55,14
"peak_898",60,15
"peak_899",787,193
"peak_900",79,45
"peak_901",769,222
"peak_902",431,269
"peak_903",739,339
"peak_904",2989,1057
"peak_905",325,141
"peak_906",155,36
"peak_907",357,76
"peak_908",117,35
"peak_909",165,59
"peak_910",183,63
"peak_911",72,38
"peak_912",362,178
"peak_913",394,129
"peak_914",223,99
"peak_915",222,97
"peak_916",102,64
"peak_917",57,13
"peak_918",114,65
"peak_919",351,128
"peak_920",602,223
"peak_921",517,167
"peak_922",1671,508
"peak_923",183,88
"peak_924",82,46
"peak_925",68,26
"peak_926",77,31
"peak_927",254,89
"peak_928",645,87
"peak_929",80,33
"peak_930",179,54
"peak_931",837,277
"peak_932",846,529
"peak_933",4790,2086
"peak_934",44,11
"peak_935",337,150
"peak_936",899,205
"peak_937",1099,420
"peak_938",98,43
"peak_939",531,168
"peak_940",739,320
"peak_941",175,113
"peak_942",177,109
"peak_943",301,182
"peak_944",821,247
"peak_945",110,56
"peak_946",960,533
"peak_947",2310,739
"peak_948",431,214
"peak_949",58,23
"peak_950",57,20
"peak_951",78,34
"peak_952",151,50
"peak_953",87,22
"peak_954",175,105
"peak_955",36,6
"peak_956",91,44
"peak_957",479,295
"peak_958",355,53
"peak_959",103,35
"peak_960",2655,996
"peak_961",840,257
"peak_962",316,165
"peak_963",241,156
"peak_964",195,71
"peak_965",71,41
"peak_966",821,325
"peak_967",632,211
"peak_968",253,83
"peak_969",264,126
"peak_970",112,66
"peak_971",143,57
"peak_972",302,125
"peak_973",292,165
"peak_974",292,165
"peak_975",881,546
"peak_976",10141,3663
"peak_977",3866,2408
"peak_978",204,135
"peak_979",113,78
"peak_980",123,81
"peak_981",114,43
"peak_982",40,14
"peak_983",83,34
"peak_984",249,114
"peak_985",223,128
"peak_986",1600,382
"peak_987",445,107
"peak_988",124,81
"peak_989",5303,1318
"peak_990",1943,863
"peak_991",659,416
"peak_992",66,27
"peak_993",345,199
"peak_994",200,128
"peak_995",165,68
"peak_996",194,78
"peak_997",72,35
"peak_998",249,103
"peak_999",135,78
"peak_1000",894,403
"peak_1001",673,286
"peak_1002",652,280
"peak_1003",95,35
"peak_1004",530,296
"peak_1005",262,176
"peak_1006",85,30
"peak_1007",48,13
"peak_1008",214,126
"peak_1009",164,43
"peak_1010",186,43
"peak_1011",117,55
"peak_1012",454,217
"peak_1013",191,50
"peak_1014",50,16
"peak_1015",77,44
"peak_1016",1186,515
"peak_1017",40,4
"peak_1018",3651,737
"peak_1019",235,133
"peak_1020",715,262
"peak_1021",1951,477
"peak_1022",11094,5175
"peak_1023",1189,744
"peak_1024",275,128
"peak_1025",3163,1067
"peak_1026",1011,514
"peak_1027",979,370
"peak_1028",321,203
"peak_1029",235,95
"peak_1030",74,40
"peak_1031",189,115
"peak_1032",6584,1802
"peak_1033",1206,790
"peak_1034",56073,11379
"peak_1035",201,40
"peak_1036",102,35
"peak_1037",130,84
"peak_1038",117,63
"peak_1039",310,145
"peak_1040",79,32
"peak_1041",57,16
"peak_1042",138,40
"peak_1043",71,34
"peak_1044",57,27
