"","SRR7992451.sorted.bam","SRR7992456.sorted.bam"
"peak_751",1546,489
"peak_752",1220,292
"peak_753",166,88
"peak_754",709,263
"peak_755",95,26
"peak_756",804,310
"peak_757",107,25
"peak_758",160,98
"peak_759",1449,645
"peak_760",10827,2231
"peak_761",853,354
"peak_762",149,95
"peak_763",373,145
"peak_764",560,311
"peak_765",574,322
"peak_766",197,120
"peak_767",218,114
"peak_768",54,18
"peak_769",3912,1956
"peak_770",122,35
"peak_771",99,51
"peak_772",557,228
"peak_773",45,11
"peak_774",45,13
"peak_775",228,67
"peak_776",120,41
"peak_777",62,26
"peak_778",240,81
"peak_779",362,96
"peak_780",203,108
"peak_781",963,276
"peak_782",177,113
"peak_783",41,9
"peak_784",534,112
"peak_785",6345,3005
"peak_786",1460,956
"peak_787",237,39
"peak_788",73,27
"peak_789",97,31
"peak_790",143,53
"peak_791",1699,903
"peak_792",1015,660
"peak_793",6849,2533
"peak_794",101,41
"peak_795",69,16
"peak_796",77,35
"peak_797",86,39
"peak_798",1322,410
"peak_799",97,56
"peak_800",112,62
"peak_801",578,271
"peak_802",61,28
"peak_803",69,16
"peak_804",124,37
"peak_805",329,118
"peak_806",45,16
"peak_807",67,35
"peak_808",192,87
"peak_809",402,98
"peak_810",49,16
"peak_811",75,36
"peak_812",192,63
"peak_813",60,25
"peak_814",75,32
"peak_815",85,33
"peak_816",117,59
"peak_817",1226,280
"peak_818",34,5
"peak_819",291,93
"peak_820",56,22
"peak_821",698,429
"peak_822",166,92
"peak_823",708,155
"peak_824",274,156
"peak_825",138,43
"peak_826",37,6
"peak_827",117,75
"peak_828",1338,466
"peak_829",1510,593
"peak_830",2130,664
"peak_831",135,82
"peak_832",1047,258
"peak_833",596,189
"peak_834",622,184
"peak_835",633,267
"peak_836",124,48
"peak_837",574,364
"peak_838",716,446
"peak_839",2417,1154
"peak_840",1265,696
"peak_841",57,22
"peak_842",1546,551
"peak_843",67,35
"peak_844",248,83
"peak_845",1295,352
"peak_846",380,228
"peak_847",778,416
"peak_848",3718,910
"peak_849",334,191
"peak_850",134,28
"peak_851",519,322
"peak_852",85,40
"peak_853",40,12
"peak_854",4395,2645
"peak_855",2605,1234
"peak_856",146,46
"peak_857",173,113
"peak_858",89,30
"peak_859",248,55
"peak_860",115,58
"peak_861",2615,1764
"peak_862",11678,4687
"peak_863",1410,651
"peak_864",60,25
"peak_865",105,27
"peak_866",212,61
"peak_867",497,227
"peak_868",248,153
"peak_869",221,130
"peak_870",361,227
"peak_871",5179,1405
"peak_872",692,121
"peak_873",653,283
"peak_874",808,529
"peak_875",1233,469
"peak_876",2765,1809
"peak_877",74,40
"peak_878",67,35
"peak_879",655,276
"peak_880",290,172
"peak_881",338,208
"peak_882",68,4
"peak_883",34,6
"peak_884",71,27
"peak_885",125,74
"peak_886",82,46
"peak_887",1367,566
"peak_888",400,183
"peak_889",374,142
"peak_890",1015,245
"peak_891",148,36
"peak_892",366,104
"peak_893",654,189
"peak_894",681,233
"peak_895",673,211
"peak_896",1541,376
"peak_897",288,124
"peak_898",1191,298
"peak_899",104,44
"peak_900",122,78
"peak_901",53,14
"peak_902",62,17
"peak_903",787,193
"peak_904",79,45
"peak_905",769,222
"peak_906",433,264
"peak_907",743,349
"peak_908",2999,1063
"peak_909",325,142
"peak_910",155,36
"peak_911",357,76
"peak_912",117,35
"peak_913",165,59
"peak_914",183,63
"peak_915",72,38
"peak_916",362,178
"peak_917",394,129
"peak_918",223,99
"peak_919",222,97
"peak_920",350,129
"peak_921",610,224
"peak_922",529,189
"peak_923",1675,509
"peak_924",183,88
"peak_925",82,46
"peak_926",68,26
"peak_927",77,31
"peak_928",254,89
"peak_929",645,87
"peak_930",80,33
"peak_931",181,55
"peak_932",837,277
"peak_933",903,574
"peak_934",4737,2064
"peak_935",42,10
"peak_936",142,39
"peak_937",168,104
"peak_938",901,210
"peak_939",1067,418
"peak_940",135,45
"peak_941",531,168
"peak_942",742,320
"peak_943",175,113
"peak_944",177,109
"peak_945",301,182
"peak_946",823,248
"peak_947",114,58
"peak_948",960,533
"peak_949",2310,739
"peak_950",431,214
"peak_951",58,22
"peak_952",56,19
"peak_953",71,32
"peak_954",63,23
"peak_955",152,51
"peak_956",88,26
"peak_957",175,105
"peak_958",36,6
"peak_959",88,43
"peak_960",479,295
"peak_961",45,13
"peak_962",355,53
"peak_963",109,36
"peak_964",2656,996
"peak_965",840,257
"peak_966",316,165
"peak_967",242,157
"peak_968",198,72
"peak_969",70,36
"peak_970",827,329
"peak_971",634,214
"peak_972",254,86
"peak_973",2069,1077
"peak_974",262,124
"peak_975",114,70
"peak_976",141,56
"peak_977",303,125
"peak_978",292,165
"peak_979",292,165
"peak_980",879,545
"peak_981",10164,3694
"peak_982",4079,2622
"peak_983",112,75
"peak_984",209,137
"peak_985",113,81
"peak_986",127,77
"peak_987",114,43
"peak_988",46,15
"peak_989",83,34
"peak_990",251,115
"peak_991",221,122
"peak_992",66,24
"peak_993",125,82
"peak_994",5304,1319
"peak_995",1918,825
"peak_996",707,449
"peak_997",67,27
"peak_998",366,213
"peak_999",165,68
"peak_1000",184,78
"peak_1001",72,35
"peak_1002",246,103
"peak_1003",155,108
"peak_1004",890,402
"peak_1005",668,284
"peak_1006",652,282
"peak_1007",97,37
"peak_1008",481,262
"peak_1009",278,181
"peak_1010",91,30
"peak_1011",48,13
"peak_1012",210,124
"peak_1013",164,43
"peak_1014",186,43
"peak_1015",117,56
"peak_1016",455,221
"peak_1017",191,50
"peak_1018",76,44
"peak_1019",1186,515
"peak_1020",42,6
"peak_1021",245,156
"peak_1022",715,261
"peak_1023",1951,480
"peak_1024",11550,5307
"peak_1025",1189,744
"peak_1026",265,114
"peak_1027",3216,1108
"peak_1028",966,481
"peak_1029",963,347
"peak_1030",294,172
"peak_1031",237,95
"peak_1032",79,42
"peak_1033",186,110
"peak_1034",6584,1802
"peak_1035",1206,795
"peak_1036",56254,11581
"peak_1037",216,41
"peak_1038",103,35
"peak_1039",130,84
"peak_1040",117,63
"peak_1041",350,163
"peak_1042",75,29
"peak_1043",60,16
"peak_1044",139,42
"peak_1045",55,23
"peak_1046",57,27
"peak_1047",110,65
"peak_1048",3294,1206
"peak_1049",599,383
"peak_1050",46,6
"peak_1051",1139,614
"peak_1052",739,207
"peak_1053",2033,757
"peak_1054",1582,657
"peak_1055",879,531
"peak_1056",389,264
"peak_1057",1999,425
"peak_1058",193,102
"peak_1059",143,65
"peak_1060",103,53
"peak_1061",191,123
"peak_1062",87,55
"peak_1063",151,92
"peak_1064",12581,4342
"peak_1065",521,335
"peak_1066",92,50
"peak_1067",137,82
"peak_1068",601,323
"peak_1069",558,314
"peak_1070",600,381
"peak_1071",180,101
"peak_1072",77,39
"peak_1073",114,45
"peak_1074",551,125
"peak_1075",230,122
"peak_1076",107,44
"peak_1077",51,21
"peak_1078",128,74
"peak_1079",444,224
"peak_1080",434,110
"peak_1081",408,178
"peak_1082",402,238
"peak_1083",1934,549
"peak_1084",196,126
"peak_1085",481,196
"peak_1086",218,51
"peak_1087",411,190
"peak_1088",221,100
"peak_1089",1404,493
"peak_1090",4025,1128
"peak_1091",954,570
"peak_1092",4870,2880
"peak_1093",1838,1224
"peak_1094",144,81
"peak_1095",772,320
"peak_1096",94,51
"peak_1097",201,128
"peak_1098",2563,535
"peak_1099",751,222
"peak_1100",383,147
"peak_1101",392,186
"peak_1102",668,186
"peak_1103",562,146
"peak_1104",62,23
"peak_1105",64,24
"peak_1106",305,70
"peak_1107",314,84
"peak_1108",131,61
"peak_1109",45,14
"peak_1110",25719,9390
"peak_1111",1432,422
"peak_1112",428,188
"peak_1113",742,363
"peak_1114",225,150
"peak_1115",455,293
"peak_1116",121,66
"peak_1117",375,118
"peak_1118",35,4
"peak_1119",931,542
"peak_1120",50,9
"peak_1121",413,116
"peak_1122",155,69
"peak_1123",92,51
"peak_1124",349,113
"peak_1125",186,52
"peak_1126",55,25
"peak_1127",199,118
"peak_1128",268,113
"peak_1129",108,30
"peak_1130",197,90
"peak_1131",124,73
"peak_1132",95,22
"peak_1133",249,44
"peak_1134",2232,673
"peak_1135",2738,1414
"peak_1136",132,80
"peak_1137",568,281
"peak_1138",147,97
"peak_1139",126,79
"peak_1140",73,25
"peak_1141",148,70
"peak_1142",134,76
"peak_1143",59,10
"peak_1144",49,15
"peak_1145",192,41
"peak_1146",157,47
"peak_1147",229,44
"peak_1148",175,116
"peak_1149",86,51
"peak_1150",256,118
"peak_1151",156,109
"peak_1152",95,62
"peak_1153",269,174
"peak_1154",53,18
"peak_1155",86,24
"peak_1156",498,144
"peak_1157",119,54
"peak_1158",1682,1069
"peak_1159",1951,1193
"peak_1160",1161,469
"peak_1161",1748,859
"peak_1162",264,130
"peak_1163",776,416
"peak_1164",173,74
"peak_1165",83,51
"peak_1166",666,343
"peak_1167",339,182
"peak_1168",17160,5025
"peak_1169",97,59
"peak_1170",114,27
"peak_1171",193,54
"peak_1172",61,30
"peak_1173",1262,372
"peak_1174",434,139
"peak_1175",264,129
"peak_1176",375,242
"peak_1177",414,271
"peak_1178",538,167
"peak_1179",66,31
"peak_1180",130,39
"peak_1181",208,119
"peak_1182",1236,617
"peak_1183",2172,635
"peak_1184",537,191
"peak_1185",301,126
"peak_1186",250,132
"peak_1187",1748,432
"peak_1188",326,97
"peak_1189",635,205
"peak_1190",680,458
"peak_1191",179,50
"peak_1192",45,9
"peak_1193",391,91
"peak_1194",814,535
"peak_1195",45,15
"peak_1196",66,29
"peak_1197",127,44
"peak_1198",189,41
"peak_1199",461,149
"peak_1200",105,36
"peak_1201",120,79
"peak_1202",254,152
"peak_1203",450,283
"peak_1204",1120,570
"peak_1205",253,159
"peak_1206",419,157
"peak_1207",221,122
"peak_1208",69,19
"peak_1209",4306,1300
"peak_1210",12554,4227
"peak_1211",873,488
"peak_1212",115,68
"peak_1213",92,31
"peak_1214",126,26
"peak_1215",235,120
"peak_1216",201,123
"peak_1217",206,137
"peak_1218",266,175
"peak_1219",1477,610
"peak_1220",133,70
"peak_1221",497,241
"peak_1222",149,50
"peak_1223",407,104
"peak_1224",409,120
"peak_1225",300,162
"peak_1226",581,195
"peak_1227",65,30
"peak_1228",109,45
"peak_1229",421,219
"peak_1230",1373,490
"peak_1231",821,365
"peak_1232",1630,454
"peak_1233",427,178
"peak_1234",1099,279
"peak_1235",35,10
"peak_1236",192,70
"peak_1237",102,27
"peak_1238",521,213
"peak_1239",27412,6486
"peak_1240",1779,303
"peak_1241",175,76
"peak_1242",137,90
"peak_1243",231,106
"peak_1244",134,55
"peak_1245",885,576
"peak_1246",230,63
"peak_1247",273,77
"peak_1248",90,49
"peak_1249",245,158
"peak_1250",315,212
"peak_1251",695,276
"peak_1252",698,248
"peak_1253",422,107
"peak_1254",33,3
"peak_1255",50,6
"peak_1256",327,60
"peak_1257",48,11
"peak_1258",470,183
"peak_1259",480,295
"peak_1260",2261,1188
"peak_1261",399,190
"peak_1262",76,24
"peak_1263",147,40
"peak_1264",329,128
"peak_1265",385,181
"peak_1266",72,33
"peak_1267",183,73
"peak_1268",227,54
"peak_1269",44,10
"peak_1270",1088,597
