"","baseMean","log2FoldChange","lfcSE","pvalue","padj","baseMeanCtrl","baseMeanCspr","entrez","log10.pvalue","Significant.Gene","Differential_Gene","label"
"594839",32.2637562861777,-2.10435451392443,0.598684325808647,5.84133199816476e-05,0.000175549456063083,53.8373298607268,10.6901827116285,"SNORA33",3.7556005118504,"Yes","Down-Regulated","Yes"
"4602",3600.38403334287,-1.11595632079888,0.0931712930944156,1.9515865210948e-33,3.44790949800633e-32,4935.99463363058,2264.77343305516,"MYB",31.4624441422186,"Yes","Down-Regulated","Yes"
"54806",1039.07592293294,-1.08229448781752,0.125555557731193,3.0985514247118e-18,2.4772320997121e-17,1416.02055202912,662.131293836767,"AHI1",16.6060333010839,"Yes","Down-Regulated","Yes"
"113115",600.921646197009,-1.04393229271649,0.152790189791574,3.83443587371855e-12,2.08179926504105e-11,812.27850083521,389.564791558808,"MTFR2",10.6815611491232,"Yes","Down-Regulated","Yes"
"9774",5680.648344878,-1.19659727862014,0.0853255389859521,4.53310952997761e-45,1.40990826564412e-43,7920.43898051112,3440.85770924489,"BCLAF1",42.8508091433876,"Yes","Down-Regulated","Yes"
"53832",5.2001576749735,3.32764125062953,3.09000100089272,0.00645328555478106,0.0140513301189768,0,10.400315349947,"IL20RA",1.85228256287706,"Yes","Up-Regulated","Yes"
"7128",393.445234489258,-1.09498489500232,0.185110609221534,1.4981480819065e-09,6.7582845871521e-09,539.823603703324,247.066865275192,"TNFAIP3",8.17016352430609,"Yes","Down-Regulated","Yes"
"57221",32.3010035535108,3.46195685836241,0.781182062609488,1.44792878691418e-06,5.13215870303377e-06,4.41428829659042,60.1877188104312,"ARFGEF3",5.28969992229202,"Yes","Up-Regulated","Yes"
"57224",14.0567740204791,1.76148290308666,0.986822860327239,0.0111080390289218,0.0229419962849157,4.44217877920686,23.6713692617513,"NHSL1",1.63936879490021,"Yes","Up-Regulated","Yes"
"345930",13.9441886522529,2.81037634065061,1.1717126177288,0.00196965933512904,0.00472749579448048,2.20714414829521,25.6812331562107,"ECT2L",2.32536884882554,"Yes","Up-Regulated","Yes"
"167838",9.5646929956967,1.76991818572083,1.36264765155445,0.0220021098931646,0.0422028545552435,2.2629251135281,16.8664608778653,"TXLNB",1.37465817283778,"Yes","Up-Regulated","Yes"
"51390",2401.50527064533,-1.8309840596552,0.0975177210930061,2.29385724294054e-79,2.38849270600678e-77,3753.02747781224,1049.98306347842,"AIG1",76.6218760806297,"Yes","Down-Regulated","Yes"
"134637",2011.15955243677,-2.58033882847704,0.112028871832381,1.86544953309623e-118,5.22180509563066e-116,3447.32976206444,574.989342809107,"ADAT2",115.282179342293,"Yes","Down-Regulated","Yes"
"10981",391.998733161555,3.23579356854116,0.217919182878654,9.54088828242435e-51,3.71199108374322e-49,74.0642034693975,709.933262853712,"RAB32",48.4303930756336,"Yes","Up-Regulated","Yes"
"729178",57.571362961821,-1.79713934641627,0.431734819203232,5.70725494134589e-06,1.91134513682053e-05,91.1622816628983,23.9804442607437,"STXBP5-AS1",4.71866088412095,"Yes","Down-Regulated","Yes"
"389432",644.513755022086,-1.86873785983836,0.146552082572683,5.68584713241653e-38,1.26997667452959e-36,1014.01984843327,275.007661610904,"SAMD5",35.8962042555922,"Yes","Down-Regulated","Yes"
"85313",1216.91761842826,-1.06211070385642,0.11471225077972,9.6087034257301e-21,8.82428605190398e-20,1649.75344254695,784.081794309566,"PPIL4",19.0543204220604,"Yes","Down-Regulated","Yes"
"84918",158.608416812347,-1.07885065431216,0.256721274208125,1.1430340157919e-05,3.72271912607714e-05,217.834103076835,99.3827305478595,"LRP11",4.42913972945348,"Yes","Down-Regulated","Yes"
"135250",6.9786535206931,4.46108290672173,2.72553040239962,0.00176838166096474,0.00428266273263304,0,13.9573070413862,"RAET1E",2.36828612572572,"Yes","Up-Regulated","Yes"
"80328",109.692781761123,-1.33726032269568,0.310486027796367,5.18984852923897e-06,1.74620660629436e-05,159.58375026005,59.8018132621953,"ULBP2",4.7579043730788,"Yes","Down-Regulated","Yes"
"80329",169.004210266401,-1.26282240407694,0.252665458768749,2.0545978493826e-07,7.90658847448538e-07,241.302599371673,96.7058211611292,"ULBP1",6.10201086496008,"Yes","Down-Regulated","Yes"
"57480",11.0385254412501,3.72751833292287,1.57802850072961,0.00382233543574662,0.00869188161303724,0.754308371176034,21.3227425113243,"PLEKHG1",2.06088619757871,"Yes","Up-Regulated","Yes"
"9590",126.827025594314,-2.33861104429069,0.299208419390402,7.63426387368329e-16,5.2487694906976e-15,213.280362367162,40.373688821465,"AKAP12",14.2799424996488,"Yes","Down-Regulated","Yes"
"80129",7.2257402400985,2.55489197947894,1.86541543621477,0.0187021855470252,0.0365066932875006,0.726417888559588,13.7250625916374,"CCDC170",1.43762750290426,"Yes","Up-Regulated","Yes"
"23345",48.03065370067,3.11045302136683,0.595223912569953,2.47537436829011e-08,1.02132008204804e-07,8.82857659318084,87.2327308081592,"SYNE1",6.99083812854769,"Yes","Up-Regulated","Yes"
