Geneid	LT34	LT35	LT36	LT46	LT47	LT48
ENSG00000012779	0	2	1	5	2	0
ENSG00000012817	68	102	200	36	361	54
ENSG00000012822	905	1085	1055	327	738	833
ENSG00000012963	326	456	332	235	348	488
ENSG00000012983	653	608	415	425	403	450
ENSG00000013016	515	1053	815	129	490	374
ENSG00000013275	948	1324	1296	580	1234	1326
ENSG00000013288	1158	1473	1488	503	1038	1027
ENSG00000013293	12	28	32	8	24	13
ENSG00000013297	0	75	2	31	18	30
ENSG00000013306	1802	2164	1901	938	2203	2391
ENSG00000013364	382	1431	724	108	1427	667
ENSG00000013374	186	346	219	181	182	312
ENSG00000013375	724	880	762	739	727	1085
ENSG00000013392	139	154	142	123	112	171
ENSG00000013441	464	390	390	291	347	441
ENSG00000013503	252	300	259	159	148	263
ENSG00000013523	21	25	26	10	14	13
ENSG00000013561	456	700	538	471	497	677
ENSG00000013563	371	481	385	155	240	320
ENSG00000013573	364	565	597	211	460	642
ENSG00000013583	622	583	548	273	399	513
ENSG00000013588	294	379	366	47	172	209
ENSG00000013619	573	520	499	179	205	335
ENSG00000013725	1399	1382	1307	1471	4601	3433
ENSG00000013810	128	259	196	192	388	478
ENSG00000014123	113	149	134	137	105	158
ENSG00000014138	141	295	316	225	339	415
ENSG00000014164	403	572	555	207	592	637
ENSG00000014216	1083	1485	2072	367	1074	1104
ENSG00000014257	14	22	5	1	13	6
ENSG00000014641	1359	1944	1585	860	1279	1615
ENSG00000014824	588	636	409	407	465	621
ENSG00000014914	34	139	50	8	71	34
ENSG00000014919	247	308	275	137	211	304
ENSG00000015133	201	212	282	222	332	548
ENSG00000015153	125	115	97	123	123	140
ENSG00000015171	252	624	362	341	572	562
ENSG00000015285	15	6	6	12	21	20
ENSG00000015413	1	2	4	1	2	19
ENSG00000015475	93	136	150	30	89	114
ENSG00000015479	584	1255	746	541	832	936
ENSG00000015520	0	2	4	0	0	0
ENSG00000015532	737	1164	1091	694	1652	1600
ENSG00000015568	142	396	246	418	242	247
ENSG00000015592	1	0	1	0	1	1
ENSG00000015676	1026	1547	1345	592	1365	1516
ENSG00000016082	43	74	52	25	27	47
ENSG00000016391	56	99	54	25	72	86
ENSG00000016402	6	9	7	8	12	6
ENSG00000016490	0	0	0	0	0	0
ENSG00000016602	0	0	0	0	0	0
ENSG00000016864	167	322	232	164	184	244
ENSG00000017260	931	1136	1164	500	755	942
ENSG00000017427	0	1	2	0	0	0
ENSG00000017483	114	188	112	91	272	187
ENSG00000017797	551	1007	667	429	795	882
ENSG00000018189	205	295	213	190	262	269
ENSG00000018236	3	8	23	2	2	2
ENSG00000018280	26	22	31	17	36	31
ENSG00000018408	438	727	481	255	343	384
ENSG00000018510	29	63	57	43	118	117
ENSG00000018610	134	79	91	87	62	102
ENSG00000018625	1	5	2	0	0	3
ENSG00000018699	351	374	321	264	293	489
ENSG00000018869	33	57	52	21	30	46
ENSG00000019102	6	6	1	2	1	6
ENSG00000019144	668	1177	718	291	940	816
ENSG00000019169	0	0	1	0	0	0
ENSG00000019186	43	165	79	3	31	22
ENSG00000019485	134	292	172	163	380	387
ENSG00000019505	13	13	10	8	8	12
ENSG00000019549	145	279	156	40	164	102
ENSG00000019582	13	45	23	4	54	5
ENSG00000019991	3	23	9	1	13	6
ENSG00000019995	861	947	784	624	751	1017
