Geneid,LT34,LT35,LT36,LT46,LT47,L48
ENSG00000197785.13,526,830,907,359,1013,1249
ENSG00000205090.8,32,32,36,18,43,48
ENSG00000160075.11,608,1010,738,515,1091,1107
ENSG00000215014.4,28,43,33,25,39,42
ENSG00000279244.1,0,0,0,0,0,0
ENSG00000274481.1,0,0,0,0,0,0
ENSG00000280747.1,0,1,0,0,1,0
ENSG00000228594.3,173,320,242,142,421,467
ENSG00000272106.1,10,18,19,8,23,23
ENSG00000197530.12,672,785,832,543,1216,1193
ENSG00000189409.12,13,6,7,5,8,19
ENSG00000248333.7,362,512,526,201,578,695
ENSG00000272004.1,1,1,0,0,1,0
ENSG00000189339.11,566,869,738,387,741,911
ENSG00000269737.1,1,1,3,0,1,5
ENSG00000269227.1,0,0,0,0,0,0
ENSG00000215914.4,1,0,0,0,0,0
ENSG00000008128.22,65,105,121,62,207,172
ENSG00000268575.1,21,21,17,12,25,24
ENSG00000227775.3,34,26,22,6,12,23
ENSG00000215790.6,41,48,37,14,28,39
ENSG00000008130.15,753,1341,1136,533,1248,1467
ENSG00000078369.17,2459,4665,3711,2022,5409,5252
ENSG00000231050.1,6,15,8,1,6,12
ENSG00000169885.9,0,0,0,0,0,0
ENSG00000178821.12,12,26,24,7,16,33
ENSG00000142609.17,4,4,3,2,0,1
ENSG00000233542.1,0,0,1,0,0,0
ENSG00000187730.7,0,1,1,0,4,2
ENSG00000226969.1,0,0,1,0,0,0
ENSG00000067606.15,165,174,249,120,184,324
ENSG00000271806.1,0,2,1,1,2,3
ENSG00000182873.5,6,1,6,1,10,8
ENSG00000162585.16,412,598,516,186,544,550
ENSG00000234396.3,0,0,0,0,0,0
ENSG00000277082.1,0,0,0,0,0,0
ENSG00000157933.9,1086,2065,1898,799,1964,2316
ENSG00000116151.13,74,93,62,44,94,140
ENSG00000272161.1,0,0,0,0,0,0
ENSG00000269896.2,8,4,9,6,23,8
ENSG00000272420.1,0,1,0,0,0,0
ENSG00000157916.18,1465,1755,1572,1230,2018,2309
ENSG00000157911.9,172,254,270,83,189,201
ENSG00000149527.17,3,5,7,5,17,33
ENSG00000224387.1,0,0,0,0,0,0
ENSG00000229393.1,0,0,0,0,0,0
ENSG00000157881.13,398,628,700,247,440,608
ENSG00000197921.5,2,5,4,11,17,21
ENSG00000272449.1,8,8,4,1,3,7
ENSG00000238164.6,0,8,11,1,9,10
ENSG00000157873.17,80,258,152,27,172,109
ENSG00000225931.3,0,0,0,0,0,0
ENSG00000228037.1,0,0,0,0,0,0
ENSG00000157870.14,452,776,658,300,762,738
ENSG00000142606.15,7,11,9,4,10,19
ENSG00000237058.1,0,0,0,0,0,0
ENSG00000215912.10,7,3,5,1,2,1
ENSG00000233234.1,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,1
ENSG00000169717.6,0,0,0,0,0,0
ENSG00000177133.10,3,4,5,5,7,14
ENSG00000142611.16,21,24,13,13,23,56
ENSG00000226286.1,0,0,0,0,0,0
ENSG00000279839.1,0,0,2,1,0,0
ENSG00000272235.1,2,4,6,0,4,2
ENSG00000130762.14,179,153,222,94,158,280
ENSG00000272088.1,3,2,1,1,1,0
ENSG00000162591.15,96,148,118,33,77,89
ENSG00000207776.1,0,0,0,0,0,0
ENSG00000238260.1,4,0,0,1,2,1
ENSG00000158109.14,621,925,779,460,843,1058
ENSG00000116213.15,349,413,465,184,312,453
ENSG00000078900.14,16,13,11,26,24,51
ENSG00000227589.1,0,0,0,0,0,0
ENSG00000235131.1,0,0,0,0,0,0
ENSG00000227372.10,318,392,388,136,336,398
ENSG00000276189.1,0,0,0,0,0,0
ENSG00000162592.8,1,0,0,0,0,0
ENSG00000235169.7,14,25,13,5,37,32
ENSG00000130764.9,513,1003,833,660,1228,1542
ENSG00000266075.2,0,1,0,0,0,0
ENSG00000272153.1,4,2,1,1,0,0
ENSG00000116198.12,606,787,671,450,731,922
ENSG00000169598.15,137,145,186,59,132,179
ENSG00000198912.10,285,369,371,205,326,480
ENSG00000236423.5,21,14,15,8,14,13
ENSG00000233304.5,0,0,0,0,0,0
ENSG00000226374.1,0,0,0,0,0,0
ENSG00000229280.1,0,0,0,0,0,0
ENSG00000235054.2,0,0,0,0,0,0
ENSG00000227169.2,0,0,0,0,0,0
ENSG00000232596.1,0,0,0,0,0,0
ENSG00000196581.10,19,40,34,24,50,79
ENSG00000277731.1,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0
ENSG00000264341.1,0,0,0,0,0,0
ENSG00000236948.1,0,0,0,0,0,0
ENSG00000216045.2,0,0,0,0,0,0
ENSG00000264101.1,0,0,0,0,0,0
ENSG00000131697.17,163,276,253,94,259,315
ENSG00000266687.1,0,0,0,0,0,0
ENSG00000069424.14,142,138,145,93,159,229
ENSG00000116254.17,39,38,33,74,104,191
ENSG00000116251.9,1156,1421,1193,1104,2109,2101
ENSG00000226944.1,1,2,4,0,2,5
ENSG00000158286.12,40,57,41,18,25,59
ENSG00000116237.15,1132,1531,1219,715,953,1370
ENSG00000225077.2,12,6,11,2,7,11
ENSG00000173673.7,0,0,2,0,3,0
ENSG00000158292.6,457,671,559,343,747,950
ENSG00000097021.19,1277,1640,1676,712,1492,1782
ENSG00000271746.1,0,0,0,0,0,0
ENSG00000069812.11,29,57,39,39,97,99
ENSG00000187017.14,24,9,19,50,57,91
ENSG00000265392.1,0,0,0,0,0,0
ENSG00000231868.1,0,0,1,0,0,0
ENSG00000215788.9,7,8,11,8,9,17
ENSG00000171680.20,161,272,273,80,159,241
ENSG00000162408.10,472,718,710,557,596,1180
ENSG00000253022.1,0,0,0,0,0,0
ENSG00000229519.2,0,0,0,0,0,0
ENSG00000173662.19,1,5,2,1,4,5
ENSG00000204859.11,174,211,228,107,237,244
ENSG00000162413.16,1711,2172,2441,1037,1910,2625
ENSG00000116273.5,394,682,589,299,676,785
ENSG00000041988.15,170,189,191,86,166,206
ENSG00000007923.15,669,978,921,588,1135,1251
ENSG00000228750.5,0,0,1,0,1,0
ENSG00000237436.1,5,5,2,6,1,11
ENSG00000171735.18,385,403,375,304,365,475
ENSG00000227950.1,0,0,0,0,0,0
ENSG00000237365.1,0,0,1,0,0,0
ENSG00000207056.1,0,0,0,0,0,0
ENSG00000280801.1,0,0,0,0,0,0
ENSG00000237402.1,1,0,0,0,0,0
ENSG00000237728.2,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0
ENSG00000270171.1,0,0,0,0,0,0
ENSG00000270035.1,0,0,0,0,0,0
ENSG00000269978.1,1,0,0,0,0,0
ENSG00000049245.12,2342,2071,1836,1095,1168,1636
ENSG00000269925.1,5,2,1,1,0,1
ENSG00000049246.14,128,172,169,69,130,148
ENSG00000236266.1,0,0,1,0,0,0
ENSG00000049247.13,0,0,0,0,0,0
ENSG00000049249.8,9,4,9,3,1,3
ENSG00000270330.1,0,0,0,0,0,0
ENSG00000116288.12,1786,2089,1703,943,1843,1884
ENSG00000200344.1,0,2,0,0,0,0
ENSG00000116285.12,1483,1025,1152,447,451,734
ENSG00000238290.1,0,0,0,0,1,0
ENSG00000232848.1,0,0,0,0,0,0
ENSG00000229305.1,0,0,0,0,0,0
ENSG00000200975.1,0,0,0,0,0,0
ENSG00000227634.1,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0
ENSG00000251977.1,0,0,0,0,0,0
