Geneid	LT34	LT35	LT36	LT46	LT47	LT48
ENSG00000021762.19	387	843	490	222	619	764
ENSG00000021776.10	561	728	648	483	554	829
ENSG00000021826.14	11	18	12	3	20	9
ENSG00000021852.12	0	1	0	0	0	0
ENSG00000022267.16	387	723	589	148	407	455
ENSG00000022277.12	743	927	811	521	1005	925
ENSG00000022355.14	0	1	0	0	0	0
ENSG00000022556.15	10	19	20	10	28	51
ENSG00000022567.9	266	338	378	178	325	443
ENSG00000022840.15	3531	3845	3374	1568	2329	3349
ENSG00000022976.15	55	115	44	46	118	160
ENSG00000023041.11	192	273	220	128	232	316
ENSG00000023171.14	355	438	368	164	300	371
ENSG00000023191.16	1835	2470	2640	856	2581	2601
ENSG00000023228.13	1096	1342	1132	936	1050	1405
ENSG00000023287.12	660	761	530	510	727	774
ENSG00000023318.7	592	867	629	584	779	1023
ENSG00000023330.14	852	1104	1114	598	1132	1566
ENSG00000023445.13	54	126	54	7	51	30
ENSG00000023516.8	778	910	665	462	431	619
ENSG00000023572.8	199	213	169	168	255	283
ENSG00000023608.4	122	137	106	114	109	117
ENSG00000023697.12	237	261	234	118	135	227
ENSG00000023734.10	2021	2702	2398	1712	2531	2969
ENSG00000023839.10	13	14	14	11	3	8
ENSG00000023892.10	11	15	14	4	8	18
ENSG00000023902.13	513	818	604	382	865	820
ENSG00000023909.9	598	736	617	724	700	899
ENSG00000024048.10	654	825	703	496	611	831
ENSG00000024422.11	2130	3570	2836	1554	3679	3898
ENSG00000024526.16	54	107	84	61	100	107
ENSG00000024862.16	82	89	77	42	52	56
ENSG00000025039.14	659	648	581	521	616	907
ENSG00000025156.12	178	241	191	146	153	237
ENSG00000025293.15	433	523	469	337	487	644
ENSG00000025423.11	19	16	13	9	9	16
ENSG00000025434.18	118	225	157	79	204	171
ENSG00000025708.12	431	968	607	208	923	747
ENSG00000025770.18	598	733	760	290	631	824
ENSG00000025772.7	519	827	711	280	734	705
ENSG00000025796.13	646	803	627	568	749	858
ENSG00000025800.13	1591	2658	2016	1442	2063	2986
ENSG00000026025.13	11445	14740	13735	6146	14098	13299
ENSG00000026036.20	2	3	5	1	3	4
ENSG00000026103.19	134	363	155	60	239	148
ENSG00000026297.15	108	158	166	98	213	164
